FID,Id,class,site_code,class_ID
222,0,NON VEGETATED,CALF,7
223,0,NON VEGETATED,CALF,7
224,0,BRYOPHYTES,CALF,1
225,0,DECIDUOUS SHRUBS,CALF,2
226,0,DECIDUOUS SHRUBS,CALF,2
227,0,EVERGREEN SHRUBS,CALF,3
228,0,BRYOPHYTES,CALF,1
229,0,GRAMINOIDS,CALF,5
230,0,DECIDUOUS SHRUBS,CALF,2
231,0,DECIDUOUS SHRUBS,CALF,2
232,0,BRYOPHYTES,CALF,1
233,0,DECIDUOUS SHRUBS,CALF,2
234,0,EVERGREEN SHRUBS,CALF,3
235,0,EVERGREEN SHRUBS,CALF,3
236,0,EVERGREEN SHRUBS,CALF,3
237,0,BRYOPHYTES,CALF,1
238,0,DECIDUOUS SHRUBS,CALF,2
239,0,GRAMINOIDS,CALF,5
240,0,FORBS,CALF,4
241,0,DECIDUOUS SHRUBS,CALF,2
242,0,GRAMINOIDS,CALF,5
243,0,DECIDUOUS SHRUBS,CALF,2
244,0,FORBS,CALF,4
245,0,BRYOPHYTES,CALF,1
246,0,DECIDUOUS SHRUBS,CALF,2
247,0,EVERGREEN SHRUBS,CALF,3
248,0,EVERGREEN SHRUBS,CALF,3
249,0,DECIDUOUS SHRUBS,CALF,2
250,0,GRAMINOIDS,CALF,5
251,0,EVERGREEN SHRUBS,CALF,3
252,0,NON VEGETATED,CALF,7
253,0,DECIDUOUS SHRUBS,CALF,2
254,0,GRAMINOIDS,CALF,5
255,0,BRYOPHYTES,CALF,1
256,0,EVERGREEN SHRUBS,CALF,3
257,0,GRAMINOIDS,CALF,5
258,0,FORBS,CALF,4
259,0,DECIDUOUS SHRUBS,CALF,2
260,0,GRAMINOIDS,CALF,5
261,0,DECIDUOUS SHRUBS,CALF,2
262,0,NON VEGETATED,CALF,7
263,0,EVERGREEN SHRUBS,CALF,3
264,0,GRAMINOIDS,CALF,5
265,0,DECIDUOUS SHRUBS,CALF,2
266,0,EVERGREEN SHRUBS,CALF,3
267,0,EVERGREEN SHRUBS,CALF,3
268,0,BRYOPHYTES,CALF,1
269,0,NON VEGETATED,CALF,7
270,0,EVERGREEN SHRUBS,CALF,3
271,0,FORBS,CALF,4
272,0,EVERGREEN SHRUBS,CALF,3
273,0,FORBS,CALF,4
274,0,FORBS,CALF,4
275,0,EVERGREEN SHRUBS,CALF,3
276,0,GRAMINOIDS,CALF,5
277,0,DECIDUOUS SHRUBS,CALF,2
278,0,EVERGREEN SHRUBS,CALF,3
279,0,GRAMINOIDS,CALF,5
280,0,DECIDUOUS SHRUBS,CALF,2
281,0,GRAMINOIDS,CALF,5
282,0,NON VEGETATED,CALF,7
283,0,NON VEGETATED,CALF,7
284,0,NON VEGETATED,CALF,7
285,0,DECIDUOUS SHRUBS,CALF,2
286,0,BRYOPHYTES,CALF,1
287,0,GRAMINOIDS,CALF,5
288,0,DECIDUOUS SHRUBS,CALF,2
289,0,DECIDUOUS SHRUBS,CALF,2
290,0,GRAMINOIDS,CALF,5
291,0,NON VEGETATED,CALF,7
292,0,DECIDUOUS SHRUBS,CALF,2
293,0,DECIDUOUS SHRUBS,CALF,2
294,0,NON VEGETATED,CALF,7
295,0,DECIDUOUS SHRUBS,CALF,2
296,0,DECIDUOUS SHRUBS,CALF,2
297,0,GRAMINOIDS,CALF,5
298,0,NON VEGETATED,CALF,7
299,0,DECIDUOUS SHRUBS,CALF,2
300,0,DECIDUOUS SHRUBS,CALF,2
301,0,NON VEGETATED,CALF,7
302,0,GRAMINOIDS,CALF,5
303,0,BRYOPHYTES,CALF,1
304,0,BRYOPHYTES,CALF,1
305,0,DECIDUOUS SHRUBS,CALF,2
306,0,DECIDUOUS SHRUBS,CALF,2
307,0,DECIDUOUS SHRUBS,CALF,2
308,0,GRAMINOIDS,CALF,5
309,0,DECIDUOUS SHRUBS,CALF,2
310,0,NON VEGETATED,CALF,7
311,0,NON VEGETATED,CALF,7
312,0,BRYOPHYTES,CALF,1
313,0,BRYOPHYTES,CALF,1
314,0,BRYOPHYTES,CALF,1
315,0,DECIDUOUS SHRUBS,CALF,2
316,0,BRYOPHYTES,CALF,1
317,0,GRAMINOIDS,CALF,5
318,0,GRAMINOIDS,CALF,5
319,0,DECIDUOUS SHRUBS,CALF,2
320,0,GRAMINOIDS,CALF,5
321,0,GRAMINOIDS,CALF,5
322,0,GRAMINOIDS,CALF,5
323,0,NON VEGETATED,CALF,7
324,0,NON VEGETATED,CALF,7
325,0,NON VEGETATED,CALF,7
326,0,NON VEGETATED,CALF,7
327,0,NON VEGETATED,CALF,7
328,0,GRAMINOIDS,CALF,5
329,0,NON VEGETATED,CALF,7
330,0,NON VEGETATED,CALF,7
331,0,NON VEGETATED,CALF,7
332,0,NON VEGETATED,CALF,7
333,0,NON VEGETATED,CALF,7
334,0,BRYOPHYTES,CALF,1
335,0,GRAMINOIDS,CALF,5
336,0,DECIDUOUS SHRUBS,DEW,2
337,0,NON VEGETATED,DEW,7
338,0,FORBS,DEW,4
339,0,FORBS,DEW,4
340,0,NON VEGETATED,DEW,7
341,0,NON VEGETATED,DEW,7
342,0,EVERGREEN SHRUBS,DEW,3
343,0,DECIDUOUS SHRUBS,DEW,2
344,0,DECIDUOUS SHRUBS,DEW,2
345,0,FORBS,DEW,4
346,0,FORBS,DEW,4
347,0,FORBS,DEW,4
348,0,NON VEGETATED,DEW,7
349,0,EVERGREEN SHRUBS,DEW,3
350,0,NON VEGETATED,DEW,7
351,0,EVERGREEN SHRUBS,DEW,3
352,0,NON VEGETATED,DEW,7
353,0,NON VEGETATED,DEW,7
354,0,DECIDUOUS SHRUBS,DEW,2
355,0,FORBS,DEW,4
356,0,LICHENS,DEW,6
357,0,LICHENS,DEW,6
358,0,GRAMINOIDS,DEW,5
359,0,GRAMINOIDS,DEW,5
360,0,NON VEGETATED,DEW,7
361,0,FORBS,DEW,4
362,0,DECIDUOUS SHRUBS,DEW,2
363,0,EVERGREEN SHRUBS,DEW,3
364,0,DECIDUOUS SHRUBS,DEW,2
365,0,LICHENS,DEW,6
366,0,DECIDUOUS SHRUBS,DEW,2
367,0,BRYOPHYTES,DEW,1
368,0,FORBS,DEW,4
369,0,FORBS,DEW,4
370,0,FORBS,DEW,4
371,0,NON VEGETATED,DEW,7
372,0,EVERGREEN SHRUBS,DEW,3
373,0,NON VEGETATED,DEW,7
374,0,DECIDUOUS SHRUBS,DEW,2
375,0,BRYOPHYTES,DEW,1
376,0,FORBS,DEW,4
377,0,FORBS,DEW,4
378,0,LICHENS,DEW,6
379,0,EVERGREEN SHRUBS,DEW,3
380,0,EVERGREEN SHRUBS,DEW,3
381,0,EVERGREEN SHRUBS,DEW,3
382,0,GRAMINOIDS,DEW,5
383,0,NON VEGETATED,DEW,7
384,0,FORBS,DEW,4
385,0,DECIDUOUS SHRUBS,DEW,2
386,0,DECIDUOUS SHRUBS,DEW,2
387,0,LICHENS,DEW,6
388,0,EVERGREEN SHRUBS,DEW,3
389,0,DECIDUOUS SHRUBS,DEW,2
390,0,EVERGREEN SHRUBS,DEW,3
391,0,DECIDUOUS SHRUBS,DEW,2
392,0,DECIDUOUS SHRUBS,DEW,2
393,0,DECIDUOUS SHRUBS,DEW,2
394,0,GRAMINOIDS,DEW,5
395,0,DECIDUOUS SHRUBS,DEW,2
396,0,GRAMINOIDS,DEW,5
397,0,GRAMINOIDS,DEW,5
398,0,NON VEGETATED,DEW,7
399,0,NON VEGETATED,DEW,7
400,0,FORBS,DEW,4
401,0,DECIDUOUS SHRUBS,DEW,2
402,0,DECIDUOUS SHRUBS,DEW,2
403,0,DECIDUOUS SHRUBS,DEW,2
404,0,DECIDUOUS SHRUBS,DEW,2
405,0,NON VEGETATED,DEW,7
406,0,NON VEGETATED,DEW,7
407,0,NON VEGETATED,DEW,7
408,0,NON VEGETATED,DEW,7
409,0,GRAMINOIDS,DEW,5
410,0,LICHENS,DEW,6
411,0,GRAMINOIDS,DEW,5
412,0,NON VEGETATED,DEW,7
413,0,EVERGREEN SHRUBS,DEW,3
414,0,DECIDUOUS SHRUBS,DEW,2
415,0,DECIDUOUS SHRUBS,DEW,2
416,0,NON VEGETATED,DEW,7
417,0,DECIDUOUS SHRUBS,DEW,2
418,0,LICHENS,DEW,6
419,0,LICHENS,DEW,6
420,0,DECIDUOUS SHRUBS,DEW,2
421,0,DECIDUOUS SHRUBS,DEW,2
422,0,DECIDUOUS SHRUBS,DEW,2
423,0,DECIDUOUS SHRUBS,DEW,2
424,0,DECIDUOUS SHRUBS,DEW,2
425,0,DECIDUOUS SHRUBS,DEW,2
426,0,GRAMINOIDS,DEW,5
427,0,GRAMINOIDS,DEW,5
428,0,BRYOPHYTES,DEW,1
429,0,FORBS,DEW,4
430,0,NON VEGETATED,DEW,7
431,0,NON VEGETATED,DEW,7
432,0,GRAMINOIDS,DEW,5
433,0,NON VEGETATED,DEW,7
434,0,DECIDUOUS SHRUBS,DEW,2
435,0,GRAMINOIDS,DEW,5
436,0,NON VEGETATED,DEW,7
437,0,NON VEGETATED,DEW,7
438,0,NON VEGETATED,DEW,7
439,0,DECIDUOUS SHRUBS,DEW,2
440,0,NON VEGETATED,GULCH,7
441,0,NON VEGETATED,GULCH,7
442,0,GRAMINOIDS,GULCH,5
443,0,FORBS,GULCH,4
444,0,GRAMINOIDS,GULCH,5
445,0,FORBS,GULCH,4
446,0,NON VEGETATED,GULCH,7
447,0,EVERGREEN SHRUBS,GULCH,3
448,0,DECIDUOUS SHRUBS,GULCH,2
449,0,DECIDUOUS SHRUBS,GULCH,2
450,0,DECIDUOUS SHRUBS,GULCH,2
451,0,GRAMINOIDS,GULCH,5
452,0,EVERGREEN SHRUBS,GULCH,3
453,0,BRYOPHYTES,GULCH,1
454,0,DECIDUOUS SHRUBS,GULCH,2
455,0,DECIDUOUS SHRUBS,GULCH,2
456,0,GRAMINOIDS,GULCH,5
457,0,GRAMINOIDS,GULCH,5
458,0,DECIDUOUS SHRUBS,GULCH,2
459,0,NON VEGETATED,GULCH,7
460,0,EVERGREEN SHRUBS,GULCH,3
461,0,EVERGREEN SHRUBS,GULCH,3
462,0,NON VEGETATED,GULCH,7
463,0,NON VEGETATED,GULCH,7
464,0,GRAMINOIDS,GULCH,5
465,0,TREES,GULCH,9
466,0,DECIDUOUS SHRUBS,GULCH,2
467,0,TREES,GULCH,9
468,0,GRAMINOIDS,GULCH,5
469,0,NON VEGETATED,GULCH,7
470,0,GRAMINOIDS,GULCH,5
471,0,BRYOPHYTES,GULCH,1
472,0,TREES,GULCH,9
473,0,GRAMINOIDS,GULCH,5
474,0,DECIDUOUS SHRUBS,GULCH,2
475,0,DECIDUOUS SHRUBS,GULCH,2
476,0,DECIDUOUS SHRUBS,GULCH,2
477,0,FORBS,GULCH,4
478,0,FORBS,GULCH,4
479,0,FORBS,GULCH,4
480,0,NON VEGETATED,GULCH,7
481,0,TREES,GULCH,9
482,0,NON VEGETATED,GULCH,7
483,0,NON VEGETATED,GULCH,7
484,0,NON VEGETATED,GULCH,7
485,0,NON VEGETATED,GULCH,7
486,0,DECIDUOUS SHRUBS,GULCH,2
487,0,DECIDUOUS SHRUBS,GULCH,2
488,0,DECIDUOUS SHRUBS,GULCH,2
489,0,FORBS,GULCH,4
490,0,GRAMINOIDS,GULCH,5
491,0,TREES,SHEEPCREEK,9
492,0,TREES,SHEEPCREEK,9
493,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
494,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
495,0,TREES,SHEEPCREEK,9
496,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
497,0,NON VEGETATED,SHEEPCREEK,7
498,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
499,0,EVERGREEN SHRUBS,SHEEPCREEK,3
500,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
501,0,GRAMINOIDS,SHEEPCREEK,5
502,0,TREES,SHEEPCREEK,9
503,0,GRAMINOIDS,SHEEPCREEK,5
504,0,EVERGREEN SHRUBS,SHEEPCREEK,3
505,0,NON VEGETATED,SHEEPCREEK,7
506,0,NON VEGETATED,SHEEPCREEK,7
507,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
508,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
509,0,EVERGREEN SHRUBS,SHEEPCREEK,3
510,0,EVERGREEN SHRUBS,SHEEPCREEK,3
511,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
512,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
513,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
514,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
515,0,BRYOPHYTES,SHEEPCREEK,1
516,0,EVERGREEN SHRUBS,SHEEPCREEK,3
517,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
518,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
519,0,BRYOPHYTES,SHEEPCREEK,1
520,0,TREES,SHEEPCREEK,9
521,0,BRYOPHYTES,SHEEPCREEK,1
522,0,NON VEGETATED,SHEEPCREEK,7
523,0,GRAMINOIDS,SHEEPCREEK,5
524,0,EVERGREEN SHRUBS,SHEEPCREEK,3
525,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
526,0,GRAMINOIDS,SHEEPCREEK,5
527,0,EVERGREEN SHRUBS,SHEEPCREEK,3
528,0,BRYOPHYTES,SHEEPCREEK,1
529,0,EVERGREEN SHRUBS,SHEEPCREEK,3
530,0,EVERGREEN SHRUBS,SHEEPCREEK,3
531,0,BRYOPHYTES,SHEEPCREEK,1
532,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
533,0,EVERGREEN SHRUBS,SHEEPCREEK,3
534,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
535,0,NON VEGETATED,SHEEPCREEK,7
536,0,BRYOPHYTES,SHEEPCREEK,1
537,0,NON VEGETATED,SHEEPCREEK,7
538,0,TREES,SHEEPCREEK,9
539,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
540,0,BRYOPHYTES,SHEEPCREEK,1
541,0,GRAMINOIDS,SHEEPCREEK,5
542,0,TREES,SHEEPCREEK,9
543,0,NON VEGETATED,SHEEPCREEK,7
544,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
545,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
546,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
547,0,GRAMINOIDS,SHEEPCREEK,5
548,0,GRAMINOIDS,SHEEPCREEK,5
549,0,NON VEGETATED,SHEEPCREEK,7
550,0,NON VEGETATED,SHEEPCREEK,7
551,0,EVERGREEN SHRUBS,SHEEPCREEK,3
552,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
553,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
554,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
555,0,BRYOPHYTES,SHEEPCREEK,1
556,0,GRAMINOIDS,SHEEPCREEK,5
557,0,EVERGREEN SHRUBS,SHEEPCREEK,3
558,0,GRAMINOIDS,SHEEPCREEK,5
559,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
560,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
561,0,BRYOPHYTES,SHEEPCREEK,1
562,0,GRAMINOIDS,SHEEPCREEK,5
563,0,BRYOPHYTES,SHEEPCREEK,1
564,0,GRAMINOIDS,SHEEPCREEK,5
565,0,GRAMINOIDS,SHEEPCREEK,5
566,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
567,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
568,0,NON VEGETATED,SHEEPCREEK,7
569,0,DECIDUOUS SHRUBS,SHEEPCREEK,2
570,0,LICHENS,SHEEPCREEK,6
571,0,NON VEGETATED,SHEEPCREEK,7
572,0,NON VEGETATED,SHEEPCREEK,7
573,0,BRYOPHYTES,SHEEPCREEK,1
574,0,TREES,SHEEPCREEK,9
575,0,NON VEGETATED,SHEEPCREEK,7
576,0,BRYOPHYTES,SHEEPCREEK,1
577,0,NON VEGETATED,SHEEPCREEK,7
578,0,TREES,SHEEPCREEK,9
579,0,NON VEGETATED,SHEEPCREEK,7
580,0,NON VEGETATED,SHEEPCREEK,7
581,0,GRAMINOIDS,SPRINGRIVER,5
582,0,FORBS,SPRINGRIVER,4
583,0,FORBS,SPRINGRIVER,4
584,0,BRYOPHYTES,SPRINGRIVER,1
585,0,EVERGREEN SHRUBS,SPRINGRIVER,3
586,0,GRAMINOIDS,SPRINGRIVER,5
587,0,FORBS,SPRINGRIVER,4
588,0,EVERGREEN SHRUBS,SPRINGRIVER,3
589,0,FORBS,SPRINGRIVER,4
590,0,NON VEGETATED,SPRINGRIVER,7
591,0,NON VEGETATED,SPRINGRIVER,7
592,0,GRAMINOIDS,SPRINGRIVER,5
593,0,GRAMINOIDS,SPRINGRIVER,5
594,0,DECIDUOUS SHRUBS,SPRINGRIVER,2
595,0,NON VEGETATED,SPRINGRIVER,7
596,0,EVERGREEN SHRUBS,SPRINGRIVER,3
597,0,EVERGREEN SHRUBS,SPRINGRIVER,3
598,0,FORBS,SPRINGRIVER,4
599,0,DECIDUOUS SHRUBS,SPRINGRIVER,2
600,0,NON VEGETATED,SPRINGRIVER,7
601,0,NON VEGETATED,SPRINGRIVER,7
602,0,DECIDUOUS SHRUBS,SPRINGRIVER,2
603,0,EVERGREEN SHRUBS,SPRINGRIVER,3
