"site_code","quadrat_num","PFT","weight_observed","cover_observed","cover_predicted","quad_label","weight_predicted_ci","weight_predicted","weight_predicted_lwr","weight_predicted_upr"
"BROWNSCREEK","70m","LICHENS",15.937,"20","1.53","BROWNSCREEK 70m",0.183546929,0.308965506,0.119110047,0.394046619
"BROWNSCREEK","90m","DECIDUOUS SHRUBS",55.895,"36","44.96","BROWNSCREEK 90m",30.19147388,75.90431019,60.93778006,91.67506414
"BROWNSCREEK","90m","EVERGREEN SHRUBS",0,"0","7.64","BROWNSCREEK 90m",1.654262274,2.408156953,1.863487659,3.57694001
"BROWNSCREEK","90m","GRAMINOIDS",3.54,"15","7.97","BROWNSCREEK 90m",1.852109867,2.081694573,1.444486005,2.47496321
"BROWNSCREEK","90m","LICHENS",12.678,"15","8.55","BROWNSCREEK 90m",0.514621955,1.12256265,0.923384589,1.40768919
"BUTLER","10m","DECIDUOUS SHRUBS",0,"0","0.34","BUTLER 10m",0,0,0,0
"BUTLER","10m","EVERGREEN SHRUBS",18.901,"31","50.97","BUTLER 10m",15.87916173,29.07465828,21.50247525,37.63290738
"BUTLER","10m","GRAMINOIDS",1.898,"4.01","15.89","BUTLER 10m",2.545528864,2.608086015,1.230723349,3.89133776
"BUTLER","10m","LICHENS",2.916,"24.04","8.47","BUTLER 10m",1.191772974,2.084016882,1.547569665,2.739342665
"BUTLER","30m","DECIDUOUS SHRUBS",25.605,"28.01","9.27","BUTLER 30m",3.387748155,6.443726326,4.827789983,8.589557039
"BUTLER","30m","EVERGREEN SHRUBS",1.023,"0.02","3.93","BUTLER 30m",0.718680009,1.299299791,0.804098947,1.405207738
"BUTLER","30m","GRAMINOIDS",5.007,"34.01","34.4","BUTLER 30m",7.150115841,6.19177405,3.25548026,10.24242423
"BUTLER","30m","LICHENS",4.294,"15.05","8.78","BUTLER 30m",0.462483231,0.659916401,0.465468785,0.911989855
"BUTLER","50m","EVERGREEN SHRUBS",15.193,"38.01","33.88","BUTLER 50m",7.11564392,13.0228702,9.710183067,16.85774539
"BUTLER","50m","GRAMINOIDS",0.475,"1.02","9.82","BUTLER 50m",1.050169526,1.190472404,0.704941397,1.73587539
"BUTLER","50m","LICHENS",1.962,"6.07","8.25","BUTLER 50m",0.308641706,0.428217716,0.364866516,0.676093787
"BUTLER","70m","GRAMINOIDS",0.539,"3","0.95","BUTLER 70m",0.040065614,0.040701338,0.018938224,0.054727465
"BUTLER","70m","LICHENS",13.877,"24.02","9.12","BUTLER 70m",0.066065021,0.147701425,0.121170399,0.197800869
"BUTLER","90m","EVERGREEN SHRUBS",25.8,"60.01","42.96","BUTLER 90m",9.128134955,17.05801201,12.65092346,20.72773806
"BUTLER","90m","GRAMINOIDS",1.213,"1","16.42","BUTLER 90m",1.353011927,1.499501453,0.923027542,3.306146466
"BUTLER","90m","LICHENS",8.309,"23.05","17.61","BUTLER 90m",0.452062509,1.054393122,0.936722715,1.461973467
"CALF","10m","DECIDUOUS SHRUBS",11.192,"8.01","1.44","CALF 10m",0.693095461,2.43687281,2.039691731,3.250813894
"CALF","10m","EVERGREEN SHRUBS",32.928,"10","21.43","CALF 10m",12.61008906,37.31252396,30.87771435,43.13380716
"CALF","10m","FORBS",0,"0","0.37","CALF 10m",0.199582183,0.209463723,0.121951498,0.638252286
"CALF","10m","GRAMINOIDS",10.787,"68","73.49","CALF 10m",11.7433427,30.96824392,25.76930866,37.17795196
"CALF","30m","DECIDUOUS SHRUBS",24.031,"30","29.01","CALF 30m",7.502348676,20.70229108,17.81195972,25.5459922
"CALF","30m","EVERGREEN SHRUBS",36.586,"12","23.48","CALF 30m",6.085975703,18.41129111,14.9659169,21.74567448
"CALF","30m","FORBS",0,"0.01","5.43","CALF 30m",1.524924959,2.733759144,1.910728418,2.739774895
"CALF","30m","GRAMINOIDS",7.82,"54","38.78","CALF 30m",3.183556125,8.55165897,7.029875626,10.07848195
"CALF","50m","DECIDUOUS SHRUBS",2.603,"1","5.64","CALF 50m",0.917322583,2.57078042,2.246096819,2.960962335
"CALF","50m","EVERGREEN SHRUBS",30.879,"28","11.79","CALF 50m",2.822739344,8.142016473,7.049052311,9.888345565
"CALF","50m","FORBS",1.314,"8","1.17","CALF 50m",0.106756472,0.304404242,0.103107051,0.391939912
"CALF","50m","GRAMINOIDS",5.756,"55.01","80.28","CALF 50m",3.119522312,8.015644666,6.294608257,9.39061786
"CALF","70m","DECIDUOUS SHRUBS",27.477,"25.01","10.24","CALF 70m",5.404632903,16.76896454,12.51657616,17.59665652
"CALF","70m","EVERGREEN SHRUBS",0,"0","7.5","CALF 70m",2.939692182,9.244239734,8.156218089,11.35840779
"CALF","70m","FORBS",0,"0","0.75","CALF 70m",0.510545015,0.246008467,0.125493802,0.79972209
"CALF","70m","GRAMINOIDS",10.651,"67","73.9","CALF 70m",7.742173019,18.40172135,15.71992674,23.92998753
"CALF","90m","DECIDUOUS SHRUBS",12.492,"19","1.04","CALF 90m",0.193107034,0.536039415,0.436791586,0.703450485
"CALF","90m","EVERGREEN SHRUBS",0.028,"0","0.69","CALF 90m",0.116666259,0.481179774,0.762628916,0.733757457
"CALF","90m","FORBS",0.116,"0","0.43","CALF 90m",0.082093721,0.110920887,0.082517719,0.118185209
"CALF","90m","GRAMINOIDS",13.2,"67","95.37","CALF 90m",5.520446111,13.58506831,10.62380862,16.26266684
"COALCREEK","10m","DECIDUOUS SHRUBS",48.851,"65","22.48","COALCREEK 10m",4.628919962,9.923348542,7.740042849,12.36733
"COALCREEK","10m","EVERGREEN SHRUBS",0.964,"0.01","17.58","COALCREEK 10m",2.843333572,5.109645076,3.969029746,7.084890993
"COALCREEK","10m","GRAMINOIDS",0.603,"0","16.76","COALCREEK 10m",4.148464304,4.894558766,3.027524407,6.898588502
"COALCREEK","10m","LICHENS",42.833,"31.01","40.62","COALCREEK 10m",1.690688453,3.509370151,2.616701105,4.313895022
"COALCREEK","30m","DECIDUOUS SHRUBS",49.643,"76","51.06","COALCREEK 30m",20.740312,45.51257199,35.96782805,56.96257046
"COALCREEK","30m","EVERGREEN SHRUBS",16.54,"12.01","22.63","COALCREEK 30m",6.521490809,13.11975286,10.16909994,16.53177555
"COALCREEK","30m","GRAMINOIDS",0.003,"0","0.61","COALCREEK 30m",0.106048565,0.203132905,0.101931913,0.338884167
"COALCREEK","30m","LICHENS",32.119,"12.02","9.25","COALCREEK 30m",1.300750475,2.94355124,2.201836164,3.282611582
"COALCREEK","50m","DECIDUOUS SHRUBS",10.261,"0","8.78","COALCREEK 50m",2.454293436,5.091651691,4.173064381,6.577287554
"COALCREEK","50m","EVERGREEN SHRUBS",9.38,"55","59.77","COALCREEK 50m",9.895187639,19.67842816,14.93501495,25.01408878
"COALCREEK","50m","GRAMINOIDS",0.119,"2","5.09","COALCREEK 50m",0.508330905,0.666722751,0.360022177,0.80511468
"COALCREEK","50m","LICHENS",14.739,"36.03","14.45","COALCREEK 50m",0.473293034,1.016651528,0.864059324,1.346097451
"COALCREEK","70m","DECIDUOUS SHRUBS",0,"0","0.08","COALCREEK 70m",0,0,0,0
"COALCREEK","70m","EVERGREEN SHRUBS",2.545,"6","4.35","COALCREEK 70m",0.405479983,0.800364398,0.612261391,1.015548457
"COALCREEK","70m","GRAMINOIDS",0.075,"2","9.47","COALCREEK 70m",0.994205256,0.857173953,0.455900016,1.502465457
"COALCREEK","70m","LICHENS",14.77,"75.02","58.4","COALCREEK 70m",0.607177837,1.501412454,1.179015575,1.751401189
"COALCREEK","90m","EVERGREEN SHRUBS",10.273,"18","30.39","COALCREEK 90m",1.809124997,3.589372428,2.740911533,4.552139839
"COALCREEK","90m","LICHENS",10.479,"26.04","15.33","COALCREEK 90m",0.085572515,0.201937356,0.160901451,0.243669523
"DEW","10m","DECIDUOUS SHRUBS",50.169,"68","50.3","DEW 10m",12.85649134,36.59383066,30.07593776,43.9912218
"DEW","10m","EVERGREEN SHRUBS",30.213,"22","35.56","DEW 10m",9.574379451,25.9468724,21.93606085,30.67827783
"DEW","10m","FORBS",0,"0","1.59","DEW 10m",0.17215638,0.289396486,0.210622695,0.126900179
"DEW","10m","GRAMINOIDS",0.733,"2","8.4","DEW 10m",0.453567818,1.352380837,0.818715052,1.298805936
"DEW","30m","DECIDUOUS SHRUBS",13.038,"25","22.35","DEW 30m",4.099421115,11.64976424,9.611689706,14.01768548
"DEW","30m","EVERGREEN SHRUBS",4.821,"10","3.72","DEW 30m",0.303383786,0.91553355,0.794688477,0.883932113
"DEW","30m","FORBS",2.804,"3","0.57","DEW 30m",0.052376203,0.026905813,0.063010165,0.039973042
"DEW","30m","GRAMINOIDS",0.066,"0.01","15.41","DEW 30m",1.515740128,3.161110508,2.738553882,4.494485303
"DEW","30m","LICHENS",2.387,"0.03","9.84","DEW 30m",3.026743746,5.53328785,4.060717538,7.226293938
"DEW","50m","DECIDUOUS SHRUBS",38.787,"63","64.84","DEW 50m",8.815707858,25.1769404,20.88804934,29.48095049
"DEW","50m","EVERGREEN SHRUBS",14.792,"15","8.34","DEW 50m",0.812821455,2.148046308,1.865982397,2.604897804
"DEW","50m","FORBS",3.27,"5","0.32","DEW 50m",0.028958171,0.027287139,0.014728774,0.043686947
"DEW","50m","GRAMINOIDS",0.595,"3","9.55","DEW 50m",0.428176548,1.226074063,0.997392814,2.155206155
"DEW","50m","LICHENS",6.735,"8.03","6.3","DEW 50m",3.751942922,7.024766635,5.274858135,8.62610914
"DEW","70m","DECIDUOUS SHRUBS",10.831,"15","13.08","DEW 70m",2.801724162,8.329071414,6.738697391,9.859583422
"DEW","70m","EVERGREEN SHRUBS",14.5,"6","4.45","DEW 70m",0.496910773,1.283410863,1.227642775,1.513247794
"DEW","70m","FORBS",0.176,"0.01","0.92","DEW 70m",0.08594898,0.088147918,0.050684416,0.1366334
"DEW","70m","GRAMINOIDS",0.276,"4","3.82","DEW 70m",0.138800495,0.302231996,0.316101013,0.36620705
"DEW","70m","LICHENS",9.274,"11.05","5.6","DEW 70m",0.958192565,1.409627364,1.334024151,2.291706724
"DEW","90m","DECIDUOUS SHRUBS",12.423,"25","16.89","DEW 90m",3.500054034,9.910707397,8.195970257,12.03875249
"DEW","90m","EVERGREEN SHRUBS",0.625,"0.01","11.8","DEW 90m",3.039582447,8.488402635,6.863174519,9.900486854
"DEW","90m","FORBS",2.704,"5.01","2.39","DEW 90m",0.611323031,0.472370318,0.691181377,1.197671648
"DEW","90m","GRAMINOIDS",0,"0","8.72","DEW 90m",0.778573418,1.054129353,0.424339453,2.020733396
"DEW","90m","LICHENS",1.673,"1.04","20.68","DEW 90m",10.84584073,21.11752754,15.36966768,24.776317
"EXCELSIOR","10m","DECIDUOUS SHRUBS",10.966,"16","5.06","EXCELSIOR 10m",0.517705227,1.223691258,0.799054446,1.581949264
"EXCELSIOR","10m","EVERGREEN SHRUBS",2.139,"8","5.59","EXCELSIOR 10m",1.762330058,2.948144261,1.984340367,3.329630415
"EXCELSIOR","10m","GRAMINOIDS",1.77,"10","2.27","EXCELSIOR 10m",0.499512199,0.459884977,0.328513812,0.951067235
"EXCELSIOR","10m","LICHENS",25.629,"51.03","67.47","EXCELSIOR 10m",2.023097026,4.515654453,3.651888527,5.609593363
"EXCELSIOR","30m","DECIDUOUS SHRUBS",0.65,"0.01","1.63","EXCELSIOR 30m",0.465889459,1.062214961,0.660309928,1.220796362
"EXCELSIOR","30m","EVERGREEN SHRUBS",9.352,"36","36.55","EXCELSIOR 30m",10.0045645,17.76848392,13.79964186,23.25033346
"EXCELSIOR","30m","GRAMINOIDS",0.841,"4.02","11.2","EXCELSIOR 30m",2.631438717,2.389065768,1.117895642,3.653625336
"EXCELSIOR","30m","LICHENS",41.243,"56.02","42.3","EXCELSIOR 30m",1.931786165,4.762241063,3.59711466,6.046683479
"EXCELSIOR","50m","EVERGREEN SHRUBS",0,"0","0.57","EXCELSIOR 50m",0.050917068,0.092499384,0.043521837,0.075734679
"EXCELSIOR","50m","GRAMINOIDS",0.24,"2","0.11","EXCELSIOR 50m",0,0,0,0
"EXCELSIOR","50m","LICHENS",67.67,"65.02","79.66","EXCELSIOR 50m",1.582441091,4.144568673,3.433142245,5.015518483
"EXCELSIOR","70m","DECIDUOUS SHRUBS",136.109,"90","77.8","EXCELSIOR 70m",74.36685024,138.0438545,103.8623803,176.7532058
"EXCELSIOR","70m","EVERGREEN SHRUBS",1.752,"0.01","3.9","EXCELSIOR 70m",3.3671536,6.850981951,4.481450788,7.639910779
"EXCELSIOR","70m","GRAMINOIDS",0,"0.01","0.95","EXCELSIOR 70m",0.305610873,0.752715886,0.49984101,1.234040119
"EXCELSIOR","70m","LICHENS",35.522,"6.04","2","EXCELSIOR 70m",0.51189672,1.032244388,1.085704386,1.492531538
"EXCELSIOR","90m","DECIDUOUS SHRUBS",0,"2","27.69","EXCELSIOR 90m",6.117201925,11.64808682,9.079078606,15.14659773
"EXCELSIOR","90m","EVERGREEN SHRUBS",34.736,"48","43.52","EXCELSIOR 90m",7.186406358,12.76467246,9.226702964,16.3666908
"EXCELSIOR","90m","GRAMINOIDS",0.534,"4","4.58","EXCELSIOR 90m",0.54609884,0.513889895,0.265449552,0.882647241
"EXCELSIOR","90m","LICHENS",27.671,"42.05","23.9","EXCELSIOR 90m",0.668280284,1.707703423,1.313157878,2.006440717
"FIRTH","10m","DECIDUOUS SHRUBS",1.98,"1.02","0.18","FIRTH 10m",0,0,0,0
"FIRTH","10m","EVERGREEN SHRUBS",1.072,"3","0.6","FIRTH 10m",0.014981492,0.041692902,0.033204895,0.049792601
"FIRTH","10m","GRAMINOIDS",3.398,"43","46.02","FIRTH 10m",1.590995399,4.170187935,3.463674097,5.008151581
"FIRTH","30m","DECIDUOUS SHRUBS",350.849,"100.01","88.18","FIRTH 30m",200.9115784,349.8783283,256.9269802,457.4047673
"FIRTH","30m","EVERGREEN SHRUBS",0,"0","0.71","FIRTH 30m",0.391376972,1.350043714,0.592907131,0.796041578
"FIRTH","30m","FORBS",0,"0","2.7","FIRTH 30m",7.819109261,6.850183353,3.330736332,11.68101704
"FIRTH","30m","GRAMINOIDS",4.684,"0.01","7.31","FIRTH 30m",2.299907289,4.659611061,3.842881564,6.630361609
"FIRTH","50m","DECIDUOUS SHRUBS",15.181,"23.01","12.14","FIRTH 50m",8.939591834,15.66189821,11.59500438,20.2761007
"FIRTH","50m","EVERGREEN SHRUBS",22.838,"58","53.74","FIRTH 50m",18.97175962,28.81682784,20.30693631,38.81883545
"FIRTH","50m","FORBS",0.184,"0.02","0.29","FIRTH 50m",0,0,0,0
"FIRTH","50m","GRAMINOIDS",4.54,"22","32.87","FIRTH 50m",5.047344305,10.5811872,7.949629674,13.6473333
"FIRTH","70m","DECIDUOUS SHRUBS",0.87,"4","1.07","FIRTH 70m",0.010748243,0.01940372,0.014405826,0.02515407
"FIRTH","70m","EVERGREEN SHRUBS",6.291,"10","3.3","FIRTH 70m",0.213379215,0.315866773,0.223962871,0.459509557
"FIRTH","70m","FORBS",0.043,"1.01","0.26","FIRTH 70m",0.001997532,0,0.004427319,0
"FIRTH","70m","GRAMINOIDS",1.542,"15","16.06","FIRTH 70m",0.31013391,0.836100067,0.693923875,1.023066544
"FIRTH","90m","DECIDUOUS SHRUBS",1.82,"6","1.47","FIRTH 90m",0.157250897,0.171283613,0.175044369,0.374001838
"FIRTH","90m","EVERGREEN SHRUBS",13.315,"20","48.95","FIRTH 90m",6.602862922,10.14743087,6.962367665,13.54754762
"FIRTH","90m","FORBS",0.474,"0.01","1.52","FIRTH 90m",0.08336973,0.101139878,0.022515401,0.065079615
"FIRTH","90m","GRAMINOIDS",1.232,"8","18.14","FIRTH 90m",0.863676849,1.79474495,1.441847502,2.407996636
"FRYINGPAN","10m","GRAMINOIDS",0,"0","4.74","FRYINGPAN 10m",0.910841371,1.620410343,1.423389248,2.078747589
"FRYINGPAN","30m","FORBS",0,"0","0.43","FRYINGPAN 30m",0.033836658,0.142656852,0.114551056,0.036563329
"FRYINGPAN","30m","GRAMINOIDS",6.35,"30","40.57","FRYINGPAN 30m",6.244035585,14.13412538,10.95737448,16.78567523
"FRYINGPAN","30m","LICHENS",10.38,"10","1.76","FRYINGPAN 30m",0.584427151,0.921637658,0.63852825,1.212120801
