site_code,quadrat_num,species_code,cover_percent,PFT_fine,PFT_coarse,site_date,measurement_scale
AMSUMMIT,40m,EPIANG,0.01,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,40m,OXYTR,10,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,40m,ANEMO,10,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,40m,POA,7.5,GRASSES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,40m,CAREX,30,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,40m,SEDGE,37.5,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,40m,SHRUB TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,40m,LICHEN TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,40m,GRAMINOID TOTAL,75,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,40m,FORB TOTAL,20,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,50m,MOSS,40,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,50m,SALRET,3,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,50m,SALPUL,12,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,50m,VACULI,15,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,50m,PEDIC,0.01,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,50m,FLACUC,4.25,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,50m,CLAMIT,0.75,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,50m,CLARAN,0.01,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,50m,CAREX,25,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,50m,SHRUB TOTAL,30,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,50m,LICHEN TOTAL,5,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,50m,GRAMINOID TOTAL,25,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,50m,FORB TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,60m,MOSS,15,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,60m,SALPUL,22.5,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,60m,VACULI,2.5,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,60m,ANEMO,15,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,60m,GRASS UNK,40.5,GRAMINOIDS,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,60m,FLACUC,0.01,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,60m,CAREX,4.5,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,60m,SHRUB TOTAL,25,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,60m,LICHEN TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,60m,GRAMINOID TOTAL,45,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,60m,FORB TOTAL,15,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,70m,MOSS,0,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,70m,SALPUL,0.01,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,70m,OXYTR,16,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,70m,EPIANG,20,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,70m,PETFRI,4,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,70m,SEDGE,60,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,70m,SHRUB TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,70m,GRAMINOID TOTAL,60,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,70m,FORB TOTAL,40,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,70m,LICHEN TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,80m,MOSS,40,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,80m,SALPUL,15,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,80m,BETUL,15,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,80m,FORB,0.01,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,80m,GRASS UNK,9,GRAMINOIDS,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,80m,CETISL,0.01,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,80m,LITTER,20,LITTER,LITTER,9/5/2018,0.25
AMSUMMIT,80m,CAREX,1,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,80m,SHRUB TOTAL,30,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,80m,LICHEN TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,80m,GRAMINOID TOTAL,10,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,80m,FORB TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,90m,SALPUL,25,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,90m,POTEN,1.5,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,90m,LUPARC,13.5,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,90m,GRASS UNK,6,GRAMINOIDS,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,90m,CAREX,54,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,90m,SHRUB TOTAL,25,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,90m,GRAMINOID TOTAL,60,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,90m,FORB TOTAL,15,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,90m,LICHEN TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AUFEIS,0m,BARE,4,BARE GROUND,BARE GROUND,7/31/2019,0.25
AUFEIS,0m,MOSS,6,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,0m,ARCTO,3,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,0m,SALRET,1,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,0m,DRYINT,1,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,0m,EQUIS,1,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,0m,CETCUC,0.01,LICHENS,LICHENS,7/31/2019,0.25
AUFEIS,0m,ERIVAG,70,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,0m,ERIANG,14,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,0m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,10m,MOSS,8,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,10m,ARCTO,10,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,10m,DRYAS,4,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,10m,EQUIS,4,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,10m,CETCUC,1,LICHENS,LICHENS,7/31/2019,0.25
AUFEIS,10m,CRUSTOSE,2,LITTER,LITTER,7/31/2019,0.25
AUFEIS,10m,LITTER,1,LITTER,LITTER,7/31/2019,0.25
AUFEIS,10m,ERIANG,5,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,10m,ERIVAG,65,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,10m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,20m,BARE,10,BARE GROUND,BARE GROUND,7/31/2019,0.25
AUFEIS,20m,MOSS,12,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,20m,ARCTO,9,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,20m,SALRET,3,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,20m,DRYINT,2,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,20m,RHOLAP,3,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,20m,EQUIS,8,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,20m,LITTER,2,LITTER,LITTER,7/31/2019,0.25
AUFEIS,20m,ERIVAG,41,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,20m,ERIANG,10,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,20m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,30m,MOSS,8,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,30m,ARCTO,8,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,30m,SALRET,1,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,30m,RHOLAP,1,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,30m,DRYAS,3,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,30m,EQUIS,2,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,30m,CLADO,1,LICHENS,LICHENS,7/31/2019,0.25
AUFEIS,30m,LITTER,0.01,LITTER,LITTER,7/31/2019,0.25
AUFEIS,30m,ERIANG,4,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,30m,ERIVAG,72,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,40m,BARE,4,BARE GROUND,BARE GROUND,7/31/2019,0.25
AUFEIS,40m,ARCTO,2,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,40m,DRYINT,1,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,40m,EQUIS,8,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,40m,ERIVAG,83,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,40m,ERIANG,2,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,40m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,50m,MOSS,6,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,50m,ARCTO,8,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,50m,SALRET,4,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,50m,DRYAS,6,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,50m,PEDCAP,0.01,FORBS,FORBS,7/31/2019,0.25
AUFEIS,50m,EQUIS,16,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,50m,ERIANG,5,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,50m,ERIVAG,55,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,50m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,60m,BARE,4,BARE GROUND,BARE GROUND,7/31/2019,0.25
AUFEIS,60m,MOSS,6,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,60m,ARCTO,8,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,60m,DRYINT,3,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,60m,ANEPAR,1,FORBS,FORBS,7/31/2019,0.25
AUFEIS,60m,THAALP,1,FORBS,FORBS,7/31/2019,0.25
AUFEIS,60m,PEDCAP,2,FORBS,FORBS,7/31/2019,0.25
AUFEIS,60m,EQUIS,15,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,60m,ERIVAG,56,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,60m,ERIANG,4,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,60m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,70m,MOSS,12,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,70m,SALRET,2,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,70m,DRYAS,7,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,70m,LEDDEC,1,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,70m,EQUIS,5,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,70m,CLADO,2,LICHENS,LICHENS,7/31/2019,0.25
AUFEIS,70m,LITTER,1,LITTER,LITTER,7/31/2019,0.25
AUFEIS,70m,ERIANG,60,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,70m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,70m,WATER,10,WATER,WATER,7/31/2019,0.25
AUFEIS,80m,ARCTO,4,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,80m,SALRET,4,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,80m,DRYINT,1,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,80m,PEDIC,0.01,FORBS,FORBS,7/31/2019,0.25
AUFEIS,80m,THAALP,1,FORBS,FORBS,7/31/2019,0.25
AUFEIS,80m,EQUIS,6,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,80m,ERIVAG,43,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,80m,ERIANG,6,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,80m,TUSSOCK,,TUSSOCK,TUSSOCK,7/31/2019,0.25
AUFEIS,80m,WATER,35,WATER,WATER,7/31/2019,0.25
AUFEIS,90m,MOSS,8,BRYOPHYTES,BRYOPHYTES,7/31/2019,0.25
AUFEIS,90m,SALIX,5,DECIDUOUS SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,90m,DRYAS,2,EVERGREEN SHRUBS,SHRUBS,7/31/2019,0.25
AUFEIS,90m,PEDIC,1,FORBS,FORBS,7/31/2019,0.25
AUFEIS,90m,EQUIS,8,HORSETAILS,FORBS,7/31/2019,0.25
AUFEIS,90m,LITTER,0.01,LITTER,LITTER,7/31/2019,0.25
AUFEIS,90m,ERIANG,70,SEDGES,GRAMINOIDS,7/31/2019,0.25
AUFEIS,90m,WATER,6,WATER,WATER,7/31/2019,0.25
BABBAGE,0m,MOSS,4,BRYOPHYTES,BRYOPHYTES,7/15/2019,0.25
BABBAGE,0m,SALGLA,8,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,VACULI,45,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,BETNAN,6,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,ARCRUB,0.01,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,VACVIT,16,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,LEDPAL,4,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,EMPNIG,0.01,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,0m,LUPARC,1,FORBS,FORBS,7/15/2019,0.25
BABBAGE,0m,POLBIS,1,FORBS,FORBS,7/15/2019,0.25
BABBAGE,0m,PEDCAP,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,0m,STELON,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,0m,SAUANG,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,0m,PEDLAB,1,FORBS,FORBS,7/15/2019,0.25
BABBAGE,0m,ARCLAT,4,GRASSES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,0m,PELTI,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,0m,CETCUC,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,0m,LITTER,2,LITTER,LITTER,7/15/2019,0.25
BABBAGE,0m,CAREX,8,SEDGES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,10m,MOSS,12,BRYOPHYTES,BRYOPHYTES,7/15/2019,0.25
BABBAGE,10m,BETNAN,6,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,10m,SALPUL,2,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,10m,VACVIT,18,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,10m,LEDPAL,4,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,10m,EMPNIG,4,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,10m,LUPARC,3,FORBS,FORBS,7/15/2019,0.25
BABBAGE,10m,PEDCAP,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,10m,POLBIS,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,10m,SAUANG,1,FORBS,FORBS,7/15/2019,0.25
BABBAGE,10m,ARCLAT,5,GRASSES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,10m,THAMN,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,10m,CETCUC,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,10m,LITTER,0.01,LITTER,LITTER,7/15/2019,0.25
BABBAGE,10m,CAREX,45,SEDGES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,20m,MOSS,25,BRYOPHYTES,BRYOPHYTES,7/15/2019,0.25
BABBAGE,20m,SALGLA,5,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,VACULI,14,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,BETNAN,4,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,ARCRUB,3,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,VACVIT,14,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,LEDPAL,16,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,EMPNIG,4,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,20m,PETFRI,6,FORBS,FORBS,7/15/2019,0.25
BABBAGE,20m,POLBIS,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,20m,PEDCAP,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,20m,PELTI,1,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,20m,LITTER,0.01,LITTER,LITTER,7/15/2019,0.25
BABBAGE,20m,CAREX,8,SEDGES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,30m,MOSS,15,BRYOPHYTES,BRYOPHYTES,7/15/2019,0.25
BABBAGE,30m,SALGLA,30,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,30m,BETNAN,4,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,30m,VACULI,12,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,30m,SALRET,1,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,30m,SALPHL,0.01,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,30m,VACVIT,4,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,30m,POLBIS,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,30m,SAUANG,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,30m,PETFRI,20,FORBS,FORBS,7/15/2019,0.25
BABBAGE,30m,STELON,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,30m,ARCLAT,2,GRASSES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,30m,CETCUC,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,30m,PELTI,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,30m,LITTER,8,LITTER,LITTER,7/15/2019,0.25
BABBAGE,30m,CAREX,4,SEDGES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,40m,MOSS,15,BRYOPHYTES,BRYOPHYTES,7/15/2019,0.25
BABBAGE,40m,VACULI,16,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,40m,BETNAN,4,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,40m,ARCRUB,4,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,40m,VACVIT,22,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,40m,LEDPAL,15,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,40m,PETFRI,4,FORBS,FORBS,7/15/2019,0.25
BABBAGE,40m,LUPARC,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,40m,POLBIS,4,FORBS,FORBS,7/15/2019,0.25
BABBAGE,40m,SAUANG,1,FORBS,FORBS,7/15/2019,0.25
BABBAGE,40m,PEDLAB,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,40m,ARCLAT,2,GRASSES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,40m,PELTI,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,40m,CETCUC,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,40m,THAMN,0.01,LICHENS,LICHENS,7/15/2019,0.25
BABBAGE,40m,LITTER,2,LITTER,LITTER,7/15/2019,0.25
BABBAGE,40m,SCAT,1,SCAT,SCAT,7/15/2019,0.25
BABBAGE,40m,CAREX,10,SEDGES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,50m,MOSS,4,BRYOPHYTES,BRYOPHYTES,7/15/2019,0.25
BABBAGE,50m,BETNAN,50,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,50m,VACULI,2,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,50m,SALRET,2,DECIDUOUS SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,50m,VACVIT,12,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,50m,LEDPAL,12,EVERGREEN SHRUBS,SHRUBS,7/15/2019,0.25
BABBAGE,50m,POLBIS,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,50m,SAUANG,0.01,FORBS,FORBS,7/15/2019,0.25
BABBAGE,50m,ARCLAT,0.01,GRASSES,GRAMINOIDS,7/15/2019,0.25
BABBAGE,50m,THAMN,0.01,LICHENS,LICHENS,7/15/2019,0.25
